index1,index2,dist
G 889,PPM 352513,5.43
G 891,PPM 367345,1.36
G 892,PPM 367355,5.90
G 893,PPM 352516,1.19
G 894,PPM 775310,2.35
G 895,PPM 352515,1.07
G 896,PPM 367352,1.87
G 897,PPM 352518,0.62
G 898,PPM 367359,0.57
G 900,PPM 352522,4.53
G 901,PPM 352524,0.93
G 902,PPM 376063,4.51
G 903,PPM 788465,2.27
G 904,PPM 352520,3.18
G 905,PPM 367358,1.49
G 906,PPM 788442,2.21
G 907,PPM 376065,4.73
G 908,PPM 352527,3.74
G 909,PPM 367351,0.16
G 910,PPM 352528,2.57
G 911,PPM 352530,0.79
G 912,PPM 367357,1.17
G 913,PPM 367360,2.07
G 915,PPM 352536,2.20
G 916,PPM 376029,0.59
G 917,PPM 352535,9.43
G 918,PPM 352538,1.17
G 919,PPM 367363,0.81
G 920,PPM 352541,3.38
G 921,PPM 788467,0.51
G 922,PPM 352537,3.29
G 923,PPM 376070,4.45
G 924,PPM 352547,1.18
G 925,PPM 367368,0.58
G 926,PPM 367371,0.40
G 927,PPM 352542,2.08
G 928,PPM 367353,1.66
G 929,PPM 376069,0.69
G 930,PPM 367362,0.30
G 931,PPM 367364,3.05
G 932,PPM 352546,1.79
G 933,PPM 783774,1.10
G 934,PPM 352549,5.12
G 935,PPM 367373,1.55
G 936,PPM 376066,2.25
G 937,PPM 376066,7.73
G 938,PPM 367378,0.53
G 939,PPM 376042,2.39
G 940,PPM 783776,1.81
G 941,PPM 352560,0.35
G 942,PPM 376073,2.31
G 943,PPM 352559,1.56
G 944,PPM 367385,1.79
G 945,PPM 367365,1.52
G 946,PPM 376064,2.76
G 947,PPM 352567,2.71
G 948,PPM 367387,2.01
G 949,PPM 352562,3.08
G 950,PPM 367370,1.20
G 951,PPM 367384,1.49
G 952,PPM 367380,1.13
G 953,PPM 376071,2.70
G 954,PPM 376078,3.79
