index1,index2,dist
USNO 662,PPM 183265,0.34
USNO 664,PPM 144471,1.81
USNO 665,PPM 144475,0.58
USNO 666,PPM 243812,0.64
USNO 667,PPM 144477,1.83
USNO 668,PPM 144481,0.73
USNO 669,PPM 174879,1.46
USNO 670,PPM 117232,18.91
USNO 671,PPM 117233,1.10
USNO 672,PPM 144494,1.67
USNO 673,PPM 117239,1.14
USNO 674,PPM 90694,2.73
USNO 675,PPM 144501,1.51
USNO 676,PPM 117245,1.86
USNO 677,PPM 183326,1.07
USNO 678,PPM 174884,1.26
USNO 679,PPM 243854,4.07
USNO 680,PPM 117252,0.99
USNO 681,PPM 43919,0.88
USNO 682,PPM 174888,59.88
USNO 683,PPM 183352,1.46
USNO 684,PPM 174889,4.58
USNO 685,PPM 144521,1.23
USNO 686,PPM 174891,2.70
USNO 687,PPM 144529,3.09
USNO 688,PPM 276961,1.92
USNO 689,PPM 66249,1.56
USNO 690,PPM 66251,1.80
USNO 691,PPM 144555,4.80
USNO 692,PPM 12969,2.18
USNO 693,PPM 243916,1.01
USNO 694,PPM 183393,3.41
USNO 695,PPM 183392,1.76
USNO 696,PPM 144568,4.54
USNO 697,PPM 276996,1.27
USNO 698,PPM 183406,7.85
USNO 699,PPM 183408,0.95
USNO 700,PPM 66278,3.14
USNO 701,PPM 243933,1.92
USNO 702,PPM 183415,0.44
USNO 703,PPM 117329,1.57
USNO 704,PPM 117332,1.33
USNO 705,PPM 117343,1.76
USNO 706,PPM 66295,2.13
USNO 707,PPM 174902,1.88
USNO 708,PPM 117342,1.59
USNO 709,PPM 174903,1.67
USNO 710,PPM 144625,1.39
USNO 711,PPM 144626,2.64
USNO 712,PPM 144631,1.11
USNO 713,PPM 144637,2.20
USNO 714,PPM 144638,2.31
USNO 715,PPM 243977,1.53
USNO 716,PPM 4717,1.37
USNO 717,PPM 117364,2.66
USNO 718,PPM 144642,1.24
USNO 719,PPM 144643,3.24
USNO 720,PPM 117367,7.01
USNO 721,PPM 210219,23.10
USNO 722,PPM 210219,0.79
USNO 723,PPM 243988,0.92
USNO 724,PPM 243989,0.73
USNO 725,PPM 144653,0.87
USNO 726,PPM 183484,1.44
USNO 727,PPM 244008,1.14
USNO 728,PPM 244003,0.36
USNO 729,PPM 277073,1.13
USNO 730,PPM 144666,1.00
USNO 731,PPM 183506,1.78
USNO 732,PPM 144670,0.67
USNO 733,PPM 117393,2.53
USNO 734,PPM 144678,3.09
USNO 735,PPM 244024,1.60
USNO 736,PPM 117418,0.12
USNO 737,PPM 183530,1.02
USNO 738,PPM 117419,1.04
USNO 739,PPM 13081,3.23
USNO 740,PPM 144708,0.68
USNO 741,PPM 117431,0.48
USNO 742,PPM 183548,0.99
USNO 743,PPM 277109,1.34
USNO 744,PPM 244050,1.01
USNO 745,PPM 244051,0.32
USNO 746,PPM 117445,1.84
USNO 747,PPM 174924,2.61
USNO 748,PPM 244056,1.32
USNO 749,PPM 244056,16.18
USNO 750,PPM 144733,0.56
USNO 751,PPM 701206,0.70
USNO 752,PPM 174928,3.43
USNO 753,PPM 117463,2.61
USNO 754,PPM 244072,1.58
USNO 755,PPM 277123,0.62
USNO 756,PPM 174930,8.38
USNO 757,PPM 117470,3.08
USNO 758,PPM 144764,1.21
USNO 759,PPM 144767,2.97
USNO 760,PPM 117474,0.76
USNO 761,PPM 244087,1.25
USNO 762,PPM 144766,1.75
USNO 763,PPM 244093,1.67
USNO 764,PPM 244094,0.41
USNO 765,PPM 244103,1.03
USNO 766,PPM 117482,0.45
USNO 767,PPM 117485,0.30
USNO 768,PPM 277141,4.23
USNO 769,PPM 277143,3.82
USNO 770,PPM 244110,2.93
USNO 771,PPM 244106,1.74
USNO 772,PPM 244108,2.82
USNO 773,PPM 44216,6.02
USNO 774,PPM 144786,0.20
USNO 775,PPM 26550,2.08
USNO 776,PPM 210397,1.85
USNO 777,PPM 144794,2.27
USNO 778,PPM 66458,1.35
USNO 779,PPM 44238,2.64
USNO 780,PPM 244126,1.04
USNO 781,PPM 117498,0.46
USNO 782,PPM 144819,0.82
USNO 783,PPM 144809,0.90
USNO 784,PPM 277182,2.08
USNO 785,PPM 183658,3.64
USNO 786,PPM 144819,1.56
USNO 787,PPM 144825,1.29
USNO 788,PPM 13173,9.72
USNO 789,PPM 144836,0.39
USNO 790,PPM 117539,2.16
USNO 791,PPM 117538,1.76
USNO 792,PPM 66505,2.24
USNO 793,PPM 13184,1.16
USNO 794,PPM 117547,1.78
USNO 795,PPM 277209,2.21
USNO 796,PPM 244175,2.34
USNO 797,PPM 277213,1.35
USNO 798,PPM 44297,1.54
USNO 799,PPM 144847,0.56
USNO 800,PPM 117551,5.89
USNO 801,PPM 117550,1.49
USNO 802,PPM 144850,0.71
USNO 803,PPM 183689,1.07
USNO 804,PPM 363,1.15
USNO 805,PPM 117555,1.60
USNO 806,PPM 244182,1.69
USNO 807,PPM 66520,1.48
USNO 808,PPM 117558,12.58
USNO 809,PPM 117557,2.19
USNO 810,PPM 144860,3.49
USNO 811,PPM 117564,1.03
USNO 812,PPM 244190,0.36
USNO 813,PPM 174957,3.91
USNO 814,PPM 144865,4.29
USNO 815,PPM 183711,0.66
USNO 816,PPM 117571,1.65
USNO 817,PPM 66531,1.35
USNO 818,PPM 117575,2.53
USNO 819,PPM 144874,3.81
USNO 820,PPM 117576,2.35
USNO 821,PPM 66538,1.14
USNO 822,PPM 144879,2.28
USNO 823,PPM 144883,0.63
USNO 824,PPM 144885,2.87
USNO 825,PPM 277261,3.33
