index1,index2,dist
211G Car,CPD -58°2411,16.96
212G Car,CPD -56°3588,0.83
t2 Car,CPD -58°2460,6.00
214G Car,CPD -58°2462,9.85
215G Car,CPD -58°2474,3.96
216G Car,CPD -63°1542,3.35
217G Car,CPD -64°1403,11.41
218G Car,CPD -74°721,4.01
219G Car,CPD -73°758,12.00
220G Car,CPD -59°2450,6.00
221G Car,CPD -63°1589,14.54
222G Car,CPD -58°2581,7.16
theta Car,CPD -63°1599,8.95
w Car,CPD -59°2532,6.00
225G Car,CPD -58°2618,13.08
226G Car,CPD -59°2548,3.81
QZ Car,CPD -59°2572,6.00
228G Car,CPD -63°1619,6.00
229G Car,CPD -63°1623,3.37
230G Car,CPD -74°727,0.00
eta Car,CPD -59°2620,6.00
232G Car,CPD -70°1183,7.86
233G Car,CPD -70°1185,7.86
234G Car,CPD -71°1118,12.00
235G Car,CPD -59°2671,6.19
236G Car,CPD -63°1646,3.30
237G Car,CPD -63°1649,11.66
238G Car,CPD -63°1655,9.96
239G Car,CPD -59°2713,11.52
240G Car,CPD -59°2720,7.12
241G Car,CPD -68°1302,6.00
242G Car,CPD -68°1305,2.71
243G Car,CPD -58°2755,9.84
244G Car,CPD -56°3947,6.49
245G Car,CPD -58°2830,7.18
u Car,CPD -58°2834,12.63
247G Car,CPD -61°1960,3.62
248G Car,CPD -70°1246,2.56
T Car,CPD -59°2840,6.00
U Car,CPD -59°2888,14.26
251G Car,CPD -68°1377,6.61
252G Car,CPD -74°755,6.00
253G Car,CPD -60°2433,14.70
254G Car,CPD -57°4174,12.11
255G Car,CPD -74°771,8.03
256G Car,CPD -58°3112,7.20
z1 Car,CPD -61°2067,7.10
258G Car,CPD -64°1630,8.87
259G Car,CPD -70°1305,9.70
x Car,CPD -58°3189,16.87
z2 Car,CPD -61°2075,9.38
262G Car,CPD -70°1336,6.00
y Car,CPD -59°3190,18.95
264G Car,CPD -63°1860,14.67
